position,person,personID,start,end
Member of the Council of Representatives,Adel Al Asoomi,Q20408969,2006,
Member of the Council of Representatives,Khalil al-Marzooq,Q6399738,2006,2011
Member of the Council of Representatives,Lateefa Al Gaood,Q6495425,2006,2014
Member of the Council of Representatives,محمد العمادي,Q20422627,2010,2018
Member of the Council of Representatives,أحمد قراطة,Q20386058,2011,2018
Member of the Council of Representatives,Fawzia Zainal,Q60191533,2018,
Member of the Council of Representatives,Ali bin Majid Al-Naimi,Q60914577,2018,
