position,person,personID,start,end
monarch,Hamad bin Isa Al Khalifa,Q57352,1999-03-06,
Prime Minister,Khalifa bin Salman Al Khalifa,Q57726,1970-01-10,2020-11-11
Prime Minister,Salman bin Hamad bin Isa Al Khalifa,Q58140,2020-11-11,
Deputy Prime Minister,Shaikh Ali bin Khalifa Al Khalifa,Q113992871,2005-09-26,
Deputy Prime Minister,Muhammad ibn Mubarak ibn Hamad Al Khalifah,Q6932875,2005-09-26,2022-06-13
Deputy Prime Minister,Jawad Al-Arrayedh,Q6165879,2006-12-11,2022-06-14
Deputy Prime Minister,Khalid bin Abdullah Al Khalifa,Q16730783,2010-11-02,
Minister of Cabinet Affairs,Mohammed bin Ibrahim Al Mutawa,Q16115995,1993,2005
Minister of Cabinet Affairs,Ahmed bin Ateyatalla Al Khalifa,Q4696094,2005-09,2011
Minister of Cabinet Affairs,Mohammed bin Ibrahim Al Mutawa,Q16115995,2015-09-30,2022-06-13
Minister of Cabinet Affairs,Hamad bin Faisal Al Malki,Q113992957,2022-06-13,
Minister of Defence,Khalifa bin Ahmed Al Khalifa,Q20402357,1988-03-31,2008-01-06
Minister of Defence,Abdulla bin Hasan AlNuaimi,Q113992841,2018-12-04,
Minister of Education,Mohammed bin Jasim Alghatam,Q28968147,2001,2002
Minister of Education,Majed bin Ali Al-Naimi,Q98885149,2002-11-11,2022-11-21
Minister of Education,Mohammed bin Mubarak Juma,Q115343006,2022-11-21,
Minister of Electricity and Water Affairs,Wael bin Nasser AlMubarak,Q113992844,2019-10-05,2022-06-13
Minister of Electricity and Water Affairs,Yasser bin Ibrahim Humaidan,Q113992878,2022-06-13,
Minister of Finance and National Economy,Salman bin Khalifa Al Khalifa,Q112326281,2018-12-04,
Minister of Foreign Affairs,Muhammad ibn Mubarak ibn Hamad Al Khalifah,Q6932875,1969-01-12,2005-09-29
Minister of Foreign Affairs,Khalid bin Ahmed Al Khalifa,Q58171,2005-09-26,2020-02-11
Minister of Foreign Affairs,Abdullatif bin Rashid Al Zayani,Q4666152,2020-02-11,
Minister of Health,Nada Haffadh,Q16190522,2004,2007-09
Minister of Health,Faisal al-Hamar,Q5431085,2007,2011
Minister of Health,Faeqa bint Saeed Al Saleh,Q42822269,2015-09-30,2022-06-13
Minister of Health,Jalila bint Al Sayyed Jawad Hassan,Q113992885,2022-06-13,
Minister of Housing,Ebrahim bin Khalifa Al Khalifa,Q5331994,2007-12,2011
