wanted,position,positionid,from,start,end
Q98885149,Minister of Education,Q108884472,Q115343006,2022-11-21,
Q6355372,Minister of Transportation and Communications,Q108884588,Q113992895,2022-06-13,
Q98804586,Minister of Information,Q108884482,Q113992886,2022-06-13,
Q99968427,Minister of Justice,Q108884550,Q113992890,2022-06-13,
Q58171,Minister of Foreign Affairs,Q108884490,Q4666152,2020-02-11,
Q2914654,ambassador to the United States of America,Q30589456,Q28474385,2013-12-03,
