@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
---,Q113992871,Shaikh Ali bin Khalifa Al Khalifa,Q108884418,Deputy Prime Minister of Bahrain,2005-09-26,,Q113992871-A5D5ADC8-4B2E-48EA-9EEA-9B7849CFE200
---,Q16730783,Shaikh Khalid bin Abdulla Al Khalifa,Q115344290,Minister for Infrastructure,2022-06-13,,Q16730783-cfd1f800-409c-7701-d0f8-42858f56c6d6
+++,,His Royal Highness Prince Salman bin Hamad Al Khalifa,,The Crown Prince,,,
