item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q112326281,Shaikh Salman bin Khalifa Al Khalifa,Q113992809,Minister of Finance and National Economy,2018-12-04,,https://www.bahrain.bh/wps/portal/!ut/p/a1/nZJRT8IwFIX_ijzscfRuZVvn2ySIEkADoqwvZOu6MbO1oxTQf2-BmGgigvbtNufcfufeIormiIpkWxaJLqVIqn1N_cXdA_iOS9wBwTMM0YPfnYQ9cPrgGUH8VQAY9_aC4DF4Dl2fwGV-cEdd575j_KMRQERuJsOn2y5AH5_zvyCKKBO60UsU80JuG6l0Ui24sMBUXImaC23BZs3zTXVVilyq-pDOApakpeB636FhZYZij6Uky0Kwwcuw3fGB2SEJsO0AxyxM8rSTu5_EJ050NvGUiyP1mbkdBL8N5ig4zREb0OAkiekw_WPywQXLLF9XKxqZlUih-ZtG83_uxLxVVDI9fME4EikmBaKK51xx1d4oc73UullfW2DBbrdrF1IWFW8zWVvwk2Up1wbmuxI19WxWE_xuD3r5eGzT1Ku2w6jV-gB8vxKy/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,2022-11-22,Q112326281-577D4966-B4BB-4CBB-9646-A214616F43CF
Q113990485,Ibrahim bin Hassan Al Hawaj,Q108884529,Minister of Works,2022-06-15,,https://www.bahrain.bh/wps/portal/!ut/p/a1/nZJRT8IwFIX_ijzscfRuZVvn2ySIEkADoqwvZOu6MbO1oxTQf2-BmGgigvbtNufcfufeIormiIpkWxaJLqVIqn1N_cXdA_iOS9wBwTMM0YPfnYQ9cPrgGUH8VQAY9_aC4DF4Dl2fwGV-cEdd575j_KMRQERuJsOn2y5AH5_zvyCKKBO60UsU80JuG6l0Ui24sMBUXImaC23BZs3zTXVVilyq-pDOApakpeB636FhZYZij6Uky0Kwwcuw3fGB2SEJsO0AxyxM8rSTu5_EJ050NvGUiyP1mbkdBL8N5ig4zREb0OAkiekw_WPywQXLLF9XKxqZlUih-ZtG83_uxLxVVDI9fME4EikmBaKK51xx1d4oc73UullfW2DBbrdrF1IWFW8zWVvwk2Up1wbmuxI19WxWE_xuD3r5eGzT1Ku2w6jV-gB8vxKy/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,2022-11-22,Q113990485-3ce7c5a3-4ea4-1dde-2fc6-c0a1dcb7ddd5
Q113992841,Lieutenant General Abdullah bin Hassan Al Nuaimi,Q108884577,Minister of Defence Affairs,2018-12-04,,https://www.bahrain.bh/wps/portal/!ut/p/a1/nZJRT8IwFIX_ijzscfRuZVvn2ySIEkADoqwvZOu6MbO1oxTQf2-BmGgigvbtNufcfufeIormiIpkWxaJLqVIqn1N_cXdA_iOS9wBwTMM0YPfnYQ9cPrgGUH8VQAY9_aC4DF4Dl2fwGV-cEdd575j_KMRQERuJsOn2y5AH5_zvyCKKBO60UsU80JuG6l0Ui24sMBUXImaC23BZs3zTXVVilyq-pDOApakpeB636FhZYZij6Uky0Kwwcuw3fGB2SEJsO0AxyxM8rSTu5_EJ050NvGUiyP1mbkdBL8N5ig4zREb0OAkiekw_WPywQXLLF9XKxqZlUih-ZtG83_uxLxVVDI9fME4EikmBaKK51xx1d4oc73UullfW2DBbrdrF1IWFW8zWVvwk2Up1wbmuxI19WxWE_xuD3r5eGzT1Ku2w6jV-gB8vxKy/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,2022-11-22,Q113992841-35455D7C-4B65-4989-8906-F538506BA7EF
Q113992843,Ghanim bin Fadhel Al Buainain,Q113992811,Minister for Shura Council and House of Representatives Affairs,2014-12-06,,https://www.bahrain.bh/wps/portal/!ut/p/a1/nZJRT8IwFIX_ijzscfRuZVvn2ySIEkADoqwvZOu6MbO1oxTQf2-BmGgigvbtNufcfufeIormiIpkWxaJLqVIqn1N_cXdA_iOS9wBwTMM0YPfnYQ9cPrgGUH8VQAY9_aC4DF4Dl2fwGV-cEdd575j_KMRQERuJsOn2y5AH5_zvyCKKBO60UsU80JuG6l0Ui24sMBUXImaC23BZs3zTXVVilyq-pDOApakpeB636FhZYZij6Uky0Kwwcuw3fGB2SEJsO0AxyxM8rSTu5_EJ050NvGUiyP1mbkdBL8N5ig4zREb0OAkiekw_WPywQXLLF9XKxqZlUih-ZtG83_uxLxVVDI9fME4EikmBaKK51xx1d4oc73UullfW2DBbrdrF1IWFW8zWVvwk2Up1wbmuxI19WxWE_xuD3r5eGzT1Ku2w6jV-gB8vxKy/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,2022-11-22,Q113992843-AABD11C9-6986-4B16-86C2-6FB12B0569AA
Q113992844,Wael bin Nasser Al Mubarak,Q113992965,Minister of Municipal Affairs and Agriculture,2019-10-05,,https://www.bahrain.bh/wps/portal/!ut/p/a1/nZJRT8IwFIX_ijzscfRuZVvn2ySIEkADoqwvZOu6MbO1oxTQf2-BmGgigvbtNufcfufeIormiIpkWxaJLqVIqn1N_cXdA_iOS9wBwTMM0YPfnYQ9cPrgGUH8VQAY9_aC4DF4Dl2fwGV-cEdd575j_KMRQERuJsOn2y5AH5_zvyCKKBO60UsU80JuG6l0Ui24sMBUXImaC23BZs3zTXVVilyq-pDOApakpeB636FhZYZij6Uky0Kwwcuw3fGB2SEJsO0AxyxM8rSTu5_EJ050NvGUiyP1mbkdBL8N5ig4zREb0OAkiekw_WPywQXLLF9XKxqZlUih-ZtG83_uxLxVVDI9fME4EikmBaKK51xx1d4oc73UullfW2DBbrdrF1IWFW8zWVvwk2Up1wbmuxI19WxWE_xuD3r5eGzT1Ku2w6jV-gB8vxKy/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,2022-11-22,Q113992844-8CAC25D1-A3E7-4D33-ABC1-62EECDDDAD63
Q113992871,Shaikh Ali bin Khalifa Al Khalifa,Q108884418,Deputy Prime Minister of Bahrain,2005-09-26,,,,Q113992871-A5D5ADC8-4B2E-48EA-9EEA-9B7849CFE200
Q113992878,Yasser bin Ibrahim Humaidan,Q113992808,Minister of Electricity and Water Affairs,2022-06-13,,,,Q113992878-4217F1C6-907C-4BDC-A096-CF941EAC15D0
Q113992885,Dr. Jalila bint Al Sayyed Jawad Hassan Jawad,Q108884463,Minister of Health,2022-06-13,,https://www.bahrain.bh/wps/portal/!ut/p/a1/nZJRT8IwFIX_ijzscfRuZVvn2ySIEkADoqwvZOu6MbO1oxTQf2-BmGgigvbtNufcfufeIormiIpkWxaJLqVIqn1N_cXdA_iOS9wBwTMM0YPfnYQ9cPrgGUH8VQAY9_aC4DF4Dl2fwGV-cEdd575j_KMRQERuJsOn2y5AH5_zvyCKKBO60UsU80JuG6l0Ui24sMBUXImaC23BZs3zTXVVilyq-pDOApakpeB636FhZYZij6Uky0Kwwcuw3fGB2SEJsO0AxyxM8rSTu5_EJ050NvGUiyP1mbkdBL8N5ig4zREb0OAkiekw_WPywQXLLF9XKxqZlUih-ZtG83_uxLxVVDI9fME4EikmBaKK51xx1d4oc73UullfW2DBbrdrF1IWFW8zWVvwk2Up1wbmuxI19WxWE_xuD3r5eGzT1Ku2w6jV-gB8vxKy/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,2022-11-22,Q113992885-F167188E-EB17-4058-8E76-22A2B7FB5291
Q113992886,Dr. Ramzan bin Abdulla Al Nuaimi,Q108884482,Minister of Information Affairs,2022-06-13,,https://www.bahrain.bh/wps/portal/!ut/p/a1/nZJRT8IwFIX_ijzscfRuZVvn2ySIEkADoqwvZOu6MbO1oxTQf2-BmGgigvbtNufcfufeIormiIpkWxaJLqVIqn1N_cXdA_iOS9wBwTMM0YPfnYQ9cPrgGUH8VQAY9_aC4DF4Dl2fwGV-cEdd575j_KMRQERuJsOn2y5AH5_zvyCKKBO60UsU80JuG6l0Ui24sMBUXImaC23BZs3zTXVVilyq-pDOApakpeB636FhZYZij6Uky0Kwwcuw3fGB2SEJsO0AxyxM8rSTu5_EJ050NvGUiyP1mbkdBL8N5ig4zREb0OAkiekw_WPywQXLLF9XKxqZlUih-ZtG83_uxLxVVDI9fME4EikmBaKK51xx1d4oc73UullfW2DBbrdrF1IWFW8zWVvwk2Up1wbmuxI19WxWE_xuD3r5eGzT1Ku2w6jV-gB8vxKy/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,2022-11-22,Q113992886-4C19EF7A-C710-446C-BB89-B004773A883E
Q113992890,Nawaf bin Mohammed Al Maawda,Q108884550,"Minister of Justice, Islamic Affairs and Waqf",2022-06-13,,https://www.bahrain.bh/wps/portal/!ut/p/a1/nZJRT8IwFIX_ijzscfRuZVvn2ySIEkADoqwvZOu6MbO1oxTQf2-BmGgigvbtNufcfufeIormiIpkWxaJLqVIqn1N_cXdA_iOS9wBwTMM0YPfnYQ9cPrgGUH8VQAY9_aC4DF4Dl2fwGV-cEdd575j_KMRQERuJsOn2y5AH5_zvyCKKBO60UsU80JuG6l0Ui24sMBUXImaC23BZs3zTXVVilyq-pDOApakpeB636FhZYZij6Uky0Kwwcuw3fGB2SEJsO0AxyxM8rSTu5_EJ050NvGUiyP1mbkdBL8N5ig4zREb0OAkiekw_WPywQXLLF9XKxqZlUih-ZtG83_uxLxVVDI9fME4EikmBaKK51xx1d4oc73UullfW2DBbrdrF1IWFW8zWVvwk2Up1wbmuxI19WxWE_xuD3r5eGzT1Ku2w6jV-gB8vxKy/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,2022-11-22,Q113992890-5808FE64-FD70-4785-9162-F9DAAA1FAAC9
