positionlabel,position
Deputy Prime Minister,Q108884418
Minister of Defence Affairs,Q108884577
Minister of Electricity and Water Affairs,Q113992808
Minister of Finance and National Economy,Q113992809
Minister of Foreign Affairs of Bahrain,Q108884490
Minister of Health,Q108884463
Minister of Housing,Q108884520
"Minister of Industry, Commerce and Tourism",Q113992810
Minister of Information Affairs,Q108884482
Minister of Interior,Q108884508
"Minister of Justice, Islamic Affairs and Waqf",Q108884550
Minister of Labour and Social Development,Q108884535
Minister of Parliament Affairs,Q113992811
Minister of Social Development,Q108884547
Minister of Transportation and Telecommunications,Q108884588
"Minister of Works, Municipalities and Urban Planning",Q108884529
Minister of Youth and Sports Affairs,Q113992775
Prime Minister of Bahrain,Q58150
