pageid,title,wikidata,label
392300,Hamad bin Isa Al Khalifa,Q57352,Hamad bin Isa Al Khalifa
1623346,Salman bin Hamad Al Khalifa,Q58140,Salman bin Hamad bin Isa Al Khalifa
31017985,Jameel Humadan,Q6127890,Jameel Humaidan
38031895,Abdullatif bin Rashid Al Zayani,Q4666152,Abdullatif bin Rashid Al Zayani
39097118,Rashid bin Abdullah Al Khalifa,Q16730784,Rashid bin Abdullah Al Khalifa
39152144,Khalid bin Abdullah Al Khalifa,Q16730783,Khalid bin Abdullah Al Khalifa
52948264,Abdullah bin Mohammad bin Rashed Al Khalifa,Q28474385,Abdullah Bin Mohammad Bin Rashed Al Khalifa
52961920,Fawaz bin Mohammed Al Khalifa,Q28510307,Fawaz bin Mohammed Al Khalifa
