wpid,wpdobstr,wpdob
1623346,"October 21, 1969",1969-10-21
38031895,"April 15, 1954",1954-04-15
39097118,1954 (age 69),1954
392300,"January 28, 1950",1950-01-28
52948264,1960 (age 63),1960
52961920,1965 (age 58),1965
