@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
---,Q6932875,Shaikh Muhammad bin Mubarak Al Khalifa,Q108884418,Deputy Prime Minister,2005-09-26,,Q6932875-2C1D0DBB-B429-425E-9A86-A894965533BD
---,Q6165879,Jawad AlArrayedh,Q108884418,Deputy Prime Minister,2006-12-11,2022-06-14,Q6165879-CB0C9F2E-5E0F-4142-9D3C-B1F1038A0D38
---,Q113992871,Shaikh Ali bin Khalifa Al Khalifa,Q108884418,Deputy Prime Minister,2005-09-26,,Q113992871-A5D5ADC8-4B2E-48EA-9EEA-9B7849CFE200
->,Q16730783,Shaikh Khalid bin Abdulla Al Khalifa,Q108884418,Deputy Prime Minister->Deputy Prime Minister and Minister of Infrastructure,2010-11-02->2022-06-13,,Q16730783-25dc6ac9-48b2-00c1-0055-678959faaa07
->,Q113992845,Zayed bin Rashid AlZayani,Q113992810,"Minister of Industry, Commerce and Tourism->Minister of Industry and Commerce",2014-12-06,,Q113992845-C32D02D6-C10B-4B3A-948D-B134E7B7E264
->,Q6127890,Jameel bin Mohammad Ali Humaidan,Q108884535,Minister of Labour and Social Development->Minister of Labour,2015-09-30->2014-12-06,,Q6127890-9052010F-987C-4FAA-ADD6-ABC5F560D004
->,Q105226570->Q5015494,Aymen bin Tawfeeq AlMoayed,Q113992775,Minister of Youth and Sports Affairs,2018-12-04,,Q105226570-4ED93B88-AC08-4F5C-A2C8-42EA22BA244D
