item,itemLabel,position,positionLabel,startDate,endDate
Q58140,Prince Salman bin Hamad Al Khalifa,,"Crown Prince, Prime Minister",2020-11-11,
Q16730783,Shaikh Khalid bin Abdulla Al Khalifa,,Deputy Prime Minister and Minister of Infrastructure,2022-06-13,
Q16730784,Shaikh Rashid bin Abdulla Al Khalifa,,Minister of Interior,2004-05-22,
Q98885149,Majid bin Ali Al-Naimi,,Minister of Education,2002-11-11,
Q4666152,Abdullatif bin Rashid AlZayani,,Minister of Foreign Affairs,2020-02-11,
,Shaikh Salman bin Khalifa Al Khalifa,,Minister of Finance and National Economy,2018-12-04,
,Jameel bin Mohammad Ali Humaidan,,Minister of Labour,2014-12-06,
,Zayed bin Rashid AlZayani,,Minister of Industry and Commerce,2014-12-06,
,Ghanim bin Fadhl AlBuainain,,Minister of Parliament Affairs,2014-12-06,
,Abdulla bin Hasan AlNuaimi,,Minister of Defence Affairs,2018-12-04,
Q5015494,Aymen bin Tawfeeq AlMoayed,,Minister of Youth and Sports Affairs,2018-12-04,
,Wael bin Nasser AlMubarak,,Minister of Municipalities and Agriculture,2019-10-05,
,Mohammed bin Mubarak bin Daina,,Minister of Oil and Environment,2022-06-13,
,Yousif bin Abdulhussain Khalaf,,Minister of Legal Affairs,2022-06-13,
,Mohammed bin Thamer Al Kaabi,,Minister of Transportation and Telecommunications,2022-06-13,
,Ibrahim bin Hassan Al Hawaj,,Minister of Works,2022-06-13,
,Osama bin Ahmed Khalaf Al Asfoor,,Minister of Social Development,2022-06-13,
,Yasser bin Ibrahim Humaidan,,Minister of Electricity and Water Affairs,2022-06-13,
,Jalila bint Al Sayyed Jawad Hassan,,Minister of Health,2022-06-13,
,Nawaf bin Mohammed Al-Mawadah,,"Minister of Justice, Islamic Affairs and Waqf",2022-06-13,
,Hamad bin Faisal Al Malki,,Minister of Cabinet Affairs,2022-06-13,
,Amna bint Ahmed Al Romaihi,,Minister of Housing and Urban Planning,2022-06-13,
,Noor bint Ali Al Khulaif,,Minister of Sustainable Development,2022-06-13,
,Fatima bint Jaffer Al Sairafi,,Minister of Tourism,2022-06-13,
,Ramzan bin Abdulla Al Nuaimi,,Minister of Information Affairs,2022-06-13,
